time_tick,accr_X_value,accr_Y_value,accr_Z_value
20.971053,3.048721,3.972168,0.000000
21.004425,3.092879,3.869457,0.000000
21.037718,3.074055,4.014102,0.000000
21.071048,3.070879,3.994565,0.000000
21.104379,2.974867,4.110909,0.000000
21.137742,3.050593,4.089743,0.000000
21.171067,3.102680,4.024004,0.000000
21.204392,3.012064,4.015170,0.000000
21.237765,3.044289,3.988121,0.000000
21.271057,2.951992,4.031215,0.000000
21.304422,2.885842,3.967007,0.000000
21.337716,2.948823,3.962590,0.000000
21.371050,2.952737,3.965234,0.000000
21.404398,3.037281,4.000644,0.000000
21.437733,3.065312,4.028325,0.000000
21.471054,3.002249,3.961838,0.000000
21.504381,3.034870,4.068285,0.000000
21.537712,3.019119,4.022517,0.000000
21.570603,2.961377,3.939126,0.000000
21.604463,2.954724,4.050664,0.000000
21.637749,3.021742,4.016904,0.000000
21.671378,2.973125,3.988060,0.000000
21.704463,3.013198,3.982480,0.000000
21.737782,3.032227,3.970303,0.000000
21.771091,3.015322,3.975777,0.000000
21.804391,3.078050,4.005356,0.000000
21.837735,2.973726,4.011869,0.000000
21.871051,2.991204,3.934140,0.000000
21.904449,3.027698,3.988676,0.000000
21.937734,2.993253,4.060569,0.000000
21.971066,2.999776,4.052470,0.000000
22.004447,3.023846,4.031003,0.000000
22.037742,3.047437,4.018527,0.000000
22.071158,3.083917,3.978770,0.000000
22.104400,3.042977,3.958915,0.000000
22.137799,3.067197,3.974464,0.000000
22.171102,2.957374,3.993696,0.000000
22.204381,2.962729,3.997940,0.000000
22.237719,2.957286,4.064132,0.000000
22.271110,2.974716,3.984873,0.000000
22.304367,2.983835,3.973262,0.000000
22.337717,3.013088,3.997460,0.000000
22.371107,3.002952,3.994267,0.000000
22.404401,3.001190,3.987638,0.000000
22.437795,3.029966,3.970723,0.000000
22.471055,3.013362,3.949136,0.000000
22.504389,3.014188,4.028392,0.000000
22.537744,2.989606,3.994390,0.000000
22.571064,2.963201,3.983396,0.000000
22.604386,2.979627,3.979326,0.000000
22.637791,2.996641,4.018232,0.000000
22.671119,2.996860,3.968571,0.000000
22.704463,3.015233,4.026100,0.000000
22.737727,2.987940,4.006578,0.000000
22.771071,3.039111,4.017687,0.000000
22.804448,2.999783,3.927613,0.000000
22.837726,2.994339,3.954095,0.000000
22.871050,2.980816,4.021323,0.000000
22.904462,3.003704,4.061981,0.000000
22.937722,2.983418,4.032517,0.000000
22.971054,3.001306,3.974692,0.000000
23.004461,3.019072,4.017182,0.000000
23.037727,3.015206,4.003875,0.000000
23.071055,3.016947,3.968052,0.000000
23.103851,2.998588,3.993445,0.000000
