Time_stamp,Milliseconds,X,Y,Z,Profile,Activity
1/9/2020 19:06,27.301,-0.6077728,5.6973114,7.905884,AR,sitting
1/9/2020 19:06,27.401,-0.5120697,5.64946,8.776871,AR,sitting
1/9/2020 19:06,27.501,-0.086135864,5.601593,7.429718,AR,sitting
1/9/2020 19:06,27.602,-0.34934998,5.704483,8.116455,AR,sitting
1/9/2020 19:06,27.701,-0.7010956,5.694916,7.9537354,AR,sitting
1/9/2020 19:06,27.801,-0.4785614,5.6661987,8.140381,AR,sitting
1/9/2020 19:06,27.901,-0.5383911,5.7332,8.030319,AR,sitting
1/9/2020 19:06,28.001,-0.55752563,5.7188416,8.283951,AR,sitting
1/9/2020 19:06,28.102,-0.65802,5.7882385,7.972885,AR,sitting
1/9/2020 19:06,28.202,-0.5168457,5.871994,7.9250336,AR,sitting
1/9/2020 19:06,28.302,0.011962891,5.63031,8.063812,AR,sitting
1/9/2020 19:06,28.401,-0.9762726,5.996414,8.233704,AR,sitting
1/9/2020 19:06,28.501,-1.6342926,6.209381,7.9465637,AR,sitting
1/9/2020 19:06,28.601,-0.94755554,5.900696,7.860428,AR,sitting
1/9/2020 19:06,28.702,-1.3304138,6.118454,8.331802,AR,sitting
1/9/2020 19:06,28.801,-1.1820526,6.0179443,7.7766724,AR,sitting
1/9/2020 19:06,28.901,-1.1030884,5.91745,7.704895,AR,sitting
1/9/2020 19:06,29.001,-1.3830566,6.1447754,8.044662,AR,sitting
1/9/2020 19:06,29.101,-2.1750793,6.376877,7.350754,AR,sitting
1/9/2020 19:06,29.201,-2.3162537,6.467804,7.274185,AR,sitting
1/9/2020 19:06,29.301,-2.8139648,6.5276184,7.647461,AR,sitting
1/9/2020 19:06,29.402,-2.8402863,6.460617,6.604187,AR,sitting
1/9/2020 19:06,29.501,-2.4215393,6.530014,7.3914337,AR,sitting
1/9/2020 19:06,29.602,-2.1678925,6.24527,7.7455597,AR,sitting
1/9/2020 19:06,29.701,-0.8566284,5.355133,7.853241,AR,sitting
1/9/2020 19:06,29.801,1.4189453,4.4482574,8.346161,AR,sitting
1/9/2020 19:06,29.901,-0.550354,5.379059,8.200211,AR,sitting
1/9/2020 19:06,30.001,-0.16270447,5.7786713,8.858231,AR,sitting
1/9/2020 19:06,30.101,0.39720154,5.391037,9.308075,AR,sitting
1/9/2020 19:06,30.201,-0.7848511,5.6063843,7.6546326,AR,sitting
1/9/2020 19:06,30.302,-0.99780273,5.3479614,7.7455597,AR,sitting
1/9/2020 19:06,30.401,-0.059814453,6.0227356,8.303101,AR,sitting
1/9/2020 19:06,30.501,-0.8422699,5.436493,8.743378,AR,sitting
1/9/2020 19:06,30.601,-0.68196106,5.458023,8.317459,AR,sitting
1/9/2020 19:06,30.701,-0.17468262,5.2211456,8.403595,AR,sitting
1/9/2020 19:06,30.838,-0.31825256,5.5322113,8.195419,AR,sitting
1/9/2020 19:06,30.938,-0.047851562,5.458023,8.793625,AR,sitting
1/9/2020 19:06,31.038,-0.086135864,5.4101715,8.425125,AR,sitting
1/9/2020 19:06,31.138,-0.5670929,5.6973114,8.011169,AR,sitting
1/9/2020 19:06,31.238,0.4857483,5.268997,8.135605,AR,sitting
1/9/2020 19:06,31.339,0.24885559,5.4891357,8.27916,AR,sitting
1/9/2020 19:06,31.439,-0.035888672,5.4556427,8.346161,AR,sitting
1/9/2020 19:06,31.538,0.13160706,5.4006042,8.006378,AR,sitting
1/9/2020 19:06,31.638,0.112457275,5.3982086,8.140381,AR,sitting
1/9/2020 19:06,31.738,-0.04547119,5.740387,7.831711,AR,sitting
1/9/2020 19:06,31.839,-0.39959717,5.9605255,7.903488,AR,sitting
1/9/2020 19:06,31.939,-0.035888672,5.8336945,8.075775,AR,sitting
1/9/2020 19:06,32.038,-0.29670715,5.7475586,8.200211,AR,sitting
1/9/2020 19:06,32.138,-0.117248535,5.699707,8.202591,AR,sitting
1/9/2020 19:06,32.238,-0.100494385,5.7332,8.094925,AR,sitting
1/9/2020 19:06,32.338,-0.35414124,5.8049927,7.613968,AR,sitting
1/9/2020 19:06,32.438,-0.23210144,5.922241,8.133209,AR,sitting
1/9/2020 19:06,32.538,0.00239563,5.740387,7.7766724,AR,sitting
1/9/2020 19:06,32.638,-0.122039795,5.785843,8.118851,AR,sitting
1/9/2020 19:06,32.74,-0.122039795,5.8097687,8.209778,AR,sitting
1/9/2020 19:06,32.84,-0.20817566,5.740387,7.903488,AR,sitting
1/9/2020 19:06,32.928,-0.1603241,5.6805573,7.9585266,AR,sitting
1/9/2020 19:06,33.041,-0.24645996,5.5298157,8.506485,AR,sitting
1/9/2020 19:06,33.138,-0.23449707,5.5130615,8.221741,AR,sitting
1/9/2020 19:06,33.238,-0.15553284,5.498703,8.169098,AR,sitting
1/9/2020 19:06,33.338,-0.03111267,5.46521,8.260025,AR,sitting
1/9/2020 19:06,33.438,0.055038452,5.38385,8.334198,AR,sitting
1/9/2020 19:06,33.538,0.34934998,5.087143,8.597412,AR,sitting
1/9/2020 19:06,33.638,0.105285645,5.21875,8.458633,AR,sitting
1/9/2020 19:06,33.731,-0.17706299,5.1517487,8.315063,AR,sitting
1/9/2020 19:06,33.838,-0.13400269,4.9986115,8.635696,AR,sitting
1/9/2020 19:06,33.936,-0.110076904,5.1182404,8.812759,AR,sitting
1/9/2020 19:06,34.038,0.112457275,5.001007,8.233704,AR,sitting
1/9/2020 19:06,34.13,-0.29193115,5.11586,8.513657,AR,sitting
1/9/2020 19:06,34.234,-0.35891724,5.1421814,8.516052,AR,sitting
1/9/2020 19:06,34.338,-0.24406433,5.166107,8.518448,AR,sitting
1/9/2020 19:06,34.427,-0.13877869,5.127823,8.386841,AR,sitting
1/9/2020 19:06,34.538,-0.31106567,5.1996,8.508881,AR,sitting
1/9/2020 19:06,34.637,-0.279953,5.201996,8.468201,AR,sitting
1/9/2020 19:06,34.733,-0.25842285,5.194824,8.530411,AR,sitting
1/9/2020 19:06,34.838,-0.102890015,5.1828613,8.420349,AR,sitting
1/9/2020 19:06,34.932,-0.093322754,5.17807,8.578262,AR,sitting
