ts,Seconds,X,Y,Z,profile,Activity,
1/8/2020 17:09,0.099,0.13639832,5.620743,8.011169,AR,laying,
1/8/2020 17:09,0.1,0.114852905,5.7092743,7.9824524,AR,laying,
1/8/2020 17:09,0.101,0.20578003,5.510666,8.360519,AR,laying,
1/8/2020 17:09,0.099,0.15553284,5.7690887,7.6043854,AR,laying,
1/8/2020 17:09,0.1,-0.77049255,5.8695984,8.011169,AR,laying,
1/8/2020 17:09,0.101,0.67237854,5.271393,7.762314,AR,laying,
1/8/2020 17:09,0.099,2.2037964,4.165909,9.064011,AR,laying,
1/8/2020 17:09,0.1,1.3136597,4.634903,8.566299,AR,laying,
1/8/2020 17:09,0.1,1.3184509,4.680359,8.573486,AR,laying,
1/8/2020 17:09,0.101,1.4620209,4.6037903,8.566299,AR,laying,
1/8/2020 17:09,0.102,1.5625153,4.790436,8.188232,AR,laying,
1/8/2020 17:09,0.097,1.4021912,4.536789,9.061615,AR,laying,
1/8/2020 17:09,0.101,2.120041,4.393219,8.762512,AR,laying,
1/8/2020 17:09,0.099,1.3447723,4.6085815,8.946762,AR,laying,
1/8/2020 17:09,0.1,1.2849426,4.82872,8.642868,AR,laying,
1/8/2020 17:09,0.101,1.4979095,4.811966,8.487335,AR,laying,
1/8/2020 17:09,0.099,1.2203369,4.6205444,8.468201,AR,laying,
1/8/2020 17:09,0.101,1.4667969,4.9052887,8.013565,AR,laying,
1/8/2020 17:09,0.099,1.1724854,4.709076,8.865402,AR,laying,
1/8/2020 17:09,0.102,1.4189453,4.886139,8.446671,AR,laying,
1/8/2020 17:09,0.099,1.2299042,4.721039,8.640488,AR,laying,
1/8/2020 17:09,0.099,1.3040924,4.778473,8.453842,AR,laying,
1/8/2020 17:09,0.1,1.3663025,4.8478546,8.551941,AR,laying,
1/8/2020 17:09,0.1,1.2586212,4.72583,8.683548,AR,laying,
1/8/2020 17:09,0.1,1.3615112,4.8095703,8.494522,AR,laying,
1/8/2020 17:09,0.101,1.1892395,4.7114716,8.630905,AR,laying,
1/8/2020 17:09,0.099,1.3591309,4.8263245,8.4179535,AR,laying,
1/8/2020 17:09,0.1,1.179657,4.675583,8.688339,AR,laying,
1/8/2020 17:09,0.1,1.3567352,4.823929,8.496918,AR,laying,
1/8/2020 17:09,0.102,1.1844482,4.7234344,8.769699,AR,laying,
1/8/2020 17:09,0.098,1.2418823,4.697113,8.992233,AR,laying,
1/8/2020 17:09,0.1,1.2969055,4.78804,7.915451,AR,laying,
1/8/2020 17:09,0.101,2.182251,4.204193,8.094925,AR,laying,
1/8/2020 17:09,0.099,0.3756714,4.9172516,8.874985,AR,laying,
1/8/2020 17:09,0.101,0.6891327,4.5631104,8.571091,AR,laying,
1/8/2020 17:09,0.099,0.8685913,4.5559387,8.822342,AR,laying,
1/8/2020 17:09,0.1,0.52163696,4.47937,8.705093,AR,laying,
1/8/2020 17:09,0.1,-2.7996063,5.618347,7.9465637,AR,laying,
1/8/2020 17:09,0.1,-1.2203369,5.580063,8.126022,AR,laying,
1/8/2020 17:09,0.1,-2.3856506,5.723633,8.324631,AR,laying,
1/8/2020 17:09,0.101,-2.009964,5.934204,6.4008026,AR,laying,
1/8/2020 17:09,0.099,-2.074585,5.6781616,8.078171,AR,laying,
1/8/2020 17:09,0.101,0.39482117,4.543976,8.999405,AR,laying,
1/8/2020 17:09,0.099,0.112457275,4.8263245,8.451447,AR,laying,
1/8/2020 17:09,0.1,-0.057434082,4.445862,8.642868,AR,laying,
1/8/2020 17:09,0.1,-0.050247192,5.0512543,8.602203,AR,laying,
1/8/2020 17:09,0.101,0.119644165,4.532013,8.937195,AR,laying,
1/8/2020 17:09,0.099,0.37806702,4.6372833,8.066208,AR,laying,
1/8/2020 17:09,0.1,-0.21057129,4.926819,8.051849,AR,laying,
1/8/2020 17:09,0.1,0.41635132,4.5343933,8.413162,AR,laying,
1/8/2020 17:09,0.1,0.34217834,4.6205444,8.681168,AR,laying,
1/8/2020 17:09,0.101,0.062210083,4.6731873,8.841476,AR,laying,
1/8/2020 17:09,0.099,0.01675415,4.656433,8.827118,AR,laying,
1/8/2020 17:09,0.101,0.21296692,4.713867,8.530411,AR,laying,
1/8/2020 17:09,0.099,-0.15553284,4.6660004,8.755341,AR,laying,
1/8/2020 17:09,0.1,0.29193115,4.7066803,8.726624,AR,laying,
1/8/2020 17:09,0.102,0.122039795,4.594223,8.903687,AR,laying,
1/8/2020 17:09,0.098,0.22253418,4.639679,8.700302,AR,laying,
1/8/2020 17:09,0.1,-0.086135864,4.718643,9.403793,AR,laying,
1/8/2020 17:09,0.1,0.2368927,4.6540375,9.166901,AR,laying,
